City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Port Lincoln,AU,-34.7333,135.8667,290.08,64,88,6.42,overcast clouds
161,Kuching,MY,1.55,110.3333,297.27,94,40,1.54,moderate rain
162,Cidreira,BR,-30.1811,-50.2056,295.09,87,1,6.23,clear sky
163,Chokurdakh,RU,70.6333,147.9167,233.89,97,98,1.04,overcast clouds
164,Honningsvag,NO,70.9821,25.9704,272.89,95,100,7.98,light snow
165,Siguiri,GN,11.6667,-9.5,297.38,15,84,0.19,broken clouds
166,Alofi,NU,-19.0595,-169.9187,301.09,69,7,5.14,clear sky
167,Nizhniy Odes,RU,63.6445,54.856,262.51,91,100,2.66,overcast clouds
168,Linjiang,CN,41.8069,126.9078,255.47,92,32,0.68,scattered clouds
169,Grand-Santi,GF,4.25,-54.3833,296.27,99,100,1.15,overcast clouds
170,Cayenne,GF,4.9333,-52.3333,297.64,92,75,1.34,moderate rain
171,Chinsali,ZM,-10.5414,32.0816,291.69,70,70,0.87,broken clouds
172,Magadan,RU,59.5667,150.8,259.0,95,100,4.93,light snow
173,Nome,US,64.5011,-165.4064,248.19,64,1,3.09,clear sky
174,Mana,GF,5.6592,-53.7767,297.92,92,100,4.74,light rain
175,Muros,ES,42.7762,-9.0603,287.5,96,68,2.8,broken clouds
176,Bodden Town,KY,19.2833,-81.25,302.15,79,20,2.24,few clouds
177,Dalkeith,GB,55.8934,-3.0638,285.42,81,98,3.13,light rain
178,Dunedin,NZ,-45.8742,170.5036,289.56,62,62,2.6,broken clouds
179,Ialibu,PG,-6.2821,143.9935,288.5,83,100,0.53,overcast clouds
180,Rosario,AR,-32.9468,-60.6393,295.1,88,20,2.06,light rain
181,Kapaa,US,22.0752,-159.319,300.33,72,75,0.89,broken clouds
182,Aykhal,RU,66.0,111.5,228.38,100,98,2.72,overcast clouds
183,Preobrazheniye,RU,42.9019,133.9064,264.33,54,9,6.43,clear sky
184,Lata,PT,40.1629,-8.3327,288.11,80,12,1.94,few clouds
185,Kupang,ID,-10.1667,123.5833,298.47,100,40,0.51,scattered clouds
186,Kewanee,US,41.2456,-89.9248,282.47,47,51,6.81,broken clouds
187,College,US,64.8569,-147.8028,250.49,68,75,0.0,light snow
188,Pihani,IN,27.6333,80.2,286.28,54,1,1.31,clear sky
189,Ilulissat,GL,69.2167,-51.1,266.16,68,90,4.12,overcast clouds
190,Banepa,NP,27.6298,85.5214,277.33,93,20,1.03,few clouds
191,Coruripe,BR,-10.1256,-36.1756,299.38,77,55,5.91,broken clouds
192,Wilmington,US,34.2257,-77.9447,285.32,55,1,3.09,clear sky
193,Touros,BR,-5.1989,-35.4608,301.65,76,8,6.97,clear sky
194,Saldanha,ZA,-33.0117,17.9442,290.18,90,100,5.3,overcast clouds
195,Juxtlahuaca,MX,17.4294,-99.1467,299.88,49,25,0.57,scattered clouds
196,Namatanai,PG,-3.6667,152.4333,302.46,68,94,2.09,overcast clouds
197,Inhuma,BR,-6.6683,-41.7078,301.79,36,88,2.56,overcast clouds
