City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1555,Kupang,ID,79.38,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
1561,Coruripe,BR,79.21,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
1563,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
1565,Juxtlahuaca,MX,80.11,scattered clouds,17.4294,-99.1467,"Casa de Huespedes ""El centro"""
1566,Namatanai,PG,84.76,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
1567,Inhuma,BR,83.55,overcast clouds,-6.6683,-41.7078,Edifício Bezerra
1585,Finschhafen,PG,83.75,overcast clouds,-6.6024,147.8681,Cossam Guest House
1588,Pirapemas,BR,80.6,overcast clouds,-3.7267,-44.2233,HOTEL DA LOURA
1594,Porto Novo,BJ,84.02,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
1598,Boyolangu,ID,77.47,broken clouds,-8.1181,111.8935,Yos ega cv
1599,Acapulco,MX,82.76,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
1600,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Poutur Pousada
1608,Resistencia,AR,86.05,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
1614,Manggar,ID,78.13,overcast clouds,-2.8833,108.2667,Guest Hotel
1617,Tual,ID,84.0,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
1622,Fare,PF,80.85,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
1626,Aswan,EG,78.1,clear sky,24.0934,32.907,Nuba Nile
1633,Warrnambool,AU,79.57,broken clouds,-38.3833,142.4833,Lady Bay Resort
1634,Kavaratti,IN,81.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
1636,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
1639,Port Blair,IN,79.11,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
1643,Pauini,BR,75.54,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
1646,Koumac,NC,76.42,moderate rain,-20.5667,164.2833,Le Monitel
1654,Alyangula,AU,80.47,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
1655,Kahului,US,80.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
1656,Vaitape,PF,80.98,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
1659,Maumere,ID,81.77,overcast clouds,-8.6199,122.2111,Sylvia Hotel
1665,Manadhoo,MV,82.31,overcast clouds,5.7667,73.3833,Reason Inn
1666,Frederico Westphalen,BR,77.45,light rain,-27.3592,-53.3944,Hotel Palace Frederico
1667,Luganville,VU,81.82,moderate rain,-15.5333,167.1667,The Espiritu Hotel
1678,Faanui,PF,80.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
1679,Mount Isa,AU,89.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
1684,Codrington,AU,84.02,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
1687,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
1693,Taraza,CO,76.17,overcast clouds,7.5836,-75.4007,Hotel Monteverde
1694,Bandarbeyla,SO,76.41,clear sky,9.4942,50.8122,JABIR HOTEL
1713,Mayumba,GA,76.33,overcast clouds,-3.432,10.6554,LIKWALE LODGE
